Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: AF594 mean	Cell: AF594 std dev	Cell: AF594 max	Cell: AF594 min	Cytoplasm: AF594 mean	Cytoplasm: AF594 std dev	Cytoplasm: AF594 max	Cytoplasm: AF594 min
4.czi	b15c0033-4e78-4268-b202-9249343d325d	Cell			CTX	Polygon	1818	5684.4	2349.7224	188.2235	0.8334	64.324	46.69	0.6947	321.8947	75.5824	2100	205	284.1275	38.5169	436	205
4.czi	3ced8975-3184-4da9-9694-15083872624f	Cell			CTX	Polygon	2654.4	5700.3	1491.4554	142.8158	0.9189	47.5421	40.2513	0.3365	707.3254	277.8767	2027	235	600.4394	145.3021	942	235
4.czi	e8866659-ff7e-477c-a021-40f0e6fe87a6	Cell			CTX	Polygon	1922	5703.6	1982.8359	161.8514	0.9512	55.3853	46.1721	0.5268	344.8799	72.3423	617	210	302.9924	43.408	438	210
4.czi	71269f5e-3f6b-45d2-85bd-bb213437c6fc	Cell			CTX	Polygon	2719.7	5713.3	2527.8066	205.4838	0.7523	74.1815	45.6214	0.8453	497.6138	195.3406	1295	207	395.5194	101.3886	675	207
4.czi	b12452d7-cbdc-4853-aa10-a021298df6c6	Cell			CTX	Polygon	2011.3	5725.7	1592.04	146.6625	0.9301	53.9405	39.0814	0.7079	328.7828	78.354	624	196	288.3174	41.365	416	196
4.czi	49eeaf66-a800-46eb-a8a5-2e9a24e67e9e	Cell			CTX	Polygon	2590	5739.5	1979.5381	170.4604	0.8561	59.9737	44.3141	0.6974	456.3844	128.1831	1259	228	398.6806	72.3302	575	228
4.czi	d8d1f71d-8c3d-4c36-a709-5cf2dcb3c166	Cell			CTX	Polygon	1788	5747.2	1932.5436	167.4666	0.8659	64.1842	37.0573	0.8126	543.6624	174.5186	1281	240	456.0388	93.924	696	240
4.czi	7d0f379f-3dee-429d-b937-f01186185739	Cell			CTX	Polygon	3001.1	5754.1	2156.7978	179.6755	0.8395	68.7061	37.9971	0.8285	317.1591	64.2914	558	209	282.829	35.5576	421	209
4.czi	2468fa19-c3c1-4631-af9f-a06571aa9f66	Cell			CTX	Polygon	2499.6	5749.2	1456.0034	140.679	0.9245	48.9019	39.8073	0.6043	619.352	228.3076	1916	259	527.7557	116.4196	863	259
4.czi	f3b0bf6d-758c-403a-9541-0476c69444ef	Cell			CTX	Polygon	1845.5	5761.8	2081.7716	174.1811	0.8623	60.8414	46.965	0.6661	505.5222	133.8861	979	241	440.9765	83.4801	652	241
