ImageNumber,ObjectNumber,FileName_Raw,PathName_Raw,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
13,1,AAV13_7D_MCAO_Str.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,20466,37430,930,230,733,40,831.4343301084726,133.35190071337828,7.9513424742719385,25692,0.8009410316054387,161.4252784496587,-17,0.5467806572268235,0.1257649262669402,217.15285824994245,247.7458375028731,42.7551166528639,12.705411078683095,9.899494936611665,141.3194961779867,130.018805279187,-43.035761834714855,1430.018469431979,0.7965903783278842,0.4245514764663208,0.02730263008710902,0.1994875386557662,0.05061630299400189,0.021589371662363445,0.013388194827961358,0.03955448487149398,0.026420022221148164,0.0212836035387948,0.003113984282542385,0.014348029145665528,0.006722442048016401,0.014725392489899862,0.007850518822977407,0.012505875342761099,0.011597438654275934,0.0112993887833075,0.004072656293343356,0.005033019261208573,0.005647323074180771,0.019067356731355477,0.01035648209413714,0.007347655593833593,0.00766202171420341,0.00625264687327347,0.007199675736659805,0.006568073361976697,0.006172067824098695,0.007399287457120618,0.00377013137842545,831.4343301084726,133.35190071337828,0,1
13,2,AAV13_7D_MCAO_Str.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,15307,56980,593,428,334,208,500.46756385967205,321.8997190827726,21.19048620916621,29281,0.9385238793738256,139.60471951643015,-14,0.26863811863811865,0.047190988924427676,309.85958022568445,322.2700730753633,29.068883707497267,6.624508809723746,5.0,129.85478560374668,106.96796478217195,-48.85886437021339,2018.9261530640536,0.5227622007445101,0.18765504545881043,0.050195662868807056,0.06372424511017642,0.0401972742288392,0.04847534712114714,0.01227796582305822,0.004122436199325418,0.027912748657973892,0.017816851173246377,0.027203298019819366,0.01848674024995618,0.005838829524994623,0.010503043273628176,0.011748614967758095,0.013295033966121507,0.01069148116022253,0.010164701626090367,0.014815413247397595,0.00824619579883819,0.003056527569267431,0.0047634770799930065,0.010946604972244693,0.0030116637669896852,0.009562315029295493,0.006824472675906636,0.0038088152101494483,0.0035675165998315115,0.008092836894613632,0.003964570419112951,0.0017149102837808836,500.46756385967205,321.8997190827726,0,2
13,3,AAV13_7D_MCAO_Str.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,17959,41538,780,1009,479,871,646.5877276017595,945.6067709783396,12.002415311529258,27157,0.9481806522532121,151.21543897333626,-15,0.4323511001974096,0.08331656371192403,289.26376881262235,310.22733599732953,38.2099463490856,10.145051133095215,7.280109889280518,112.67117694238831,91.90827698280691,-80.00865961171174,1645.8124086713187,0.6613027948595206,0.23759217988070352,0.037353771452107824,0.11213670398629705,0.04895824782924389,0.026288753147954085,0.016513150689237935,0.03636834416919075,0.0460556090446064,0.01717039704445319,0.014711835165465504,0.02301592940806554,0.0063787955585556146,0.020378920253178497,0.01989162073019771,0.017180664620891052,0.00802099077522622,0.008797582968927856,0.013037306505028386,0.011537298206711072,0.0025888389850566686,0.007393036601914766,0.011868949134972369,0.004900453827908179,0.007374926631987472,0.0049143000522707874,0.006394889054545702,0.003906692027403424,0.009121229749497969,0.004374254591766413,0.001475308093514043,646.5877276017595,945.6067709783396,0,3
14,1,AAV14_1D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,12423,22491,656,154,467,35,561.5085728085004,97.05030990903968,9.188331892140045,17052,0.7537401778545257,125.76746345635236,-11,0.5523542750433507,0.10883368295124687,169.15085054711815,196.74348782107123,25.019992006393608,7.695584033487329,6.324555320336759,116.77796690769006,111.16129370568824,85.32671345247341,1197.668181006535,0.7285362420830401,0.4086352915222932,0.012845866828597475,0.1915762856343076,0.04254574424749289,0.011630007189154539,0.01976064461313619,0.02958229083739167,0.02944392458415506,0.012430560272174809,0.0040668153881672645,0.02300465949544618,0.012782586619463866,0.021216213766069917,0.01346955285560182,0.0063602029550439846,0.007601683791524047,0.0050759753683238705,0.008971439977772333,0.016859892406101976,0.0075500977171348346,0.017555465287936754,0.010626520211521641,0.011622590742472773,0.004141863912574132,0.0041415238168407125,0.004987739150018889,0.003858628229241201,0.005841468221856494,0.008902186616765815,0.005110879056633257,561.5085728085004,97.05030990903968,0,1
14,2,AAV14_1D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,19421,39744,227,324,35,117,133.15560475773648,209.06374543020442,14.299661234455554,27318,0.8294203094115636,157.2500721726435,-16,0.48865237520128824,0.06993172660555508,229.0124772671526,256.72748197261626,37.21558813185679,9.3312029112461,6.708203932499369,147.29154046185727,127.93210735277037,-42.2837254419209,1868.1149698820104,0.7109232008199722,0.3751776722192962,0.059732200161698286,0.16030258776348547,0.05323551789662211,0.044319083244946884,0.0121090110597253,0.023594202540179857,0.033283976920629114,0.02060128570649876,0.007857439581400859,0.007229239589804796,0.00752256587260707,0.0002797814453682918,0.007366036147357986,0.01893030026209291,0.009313407644878034,0.004589921750340179,0.016251296521007493,0.00610889696531659,0.0047375881030207985,0.0027334448229908662,0.010141172305030956,0.0056747387565398155,0.009979585759156287,0.004558166171239636,0.0039951127458152545,0.008467885799377094,0.007781036720551165,0.005920565523343039,0.002170958496036607,133.15560475773648,209.06374543020442,0,2
14,3,AAV14_1D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,12105,22400,1003,246,843,106,931.0400660883932,182.71268071045023,4.260611982641921,15030,0.8067603884339638,124.14735071284906,-2,0.5404017857142858,0.2347080663702964,169.8587783978962,176.17321022221284,36.796738985948195,12.640773520075477,10.63014581273465,118.29755413928055,100.36593955914041,-55.02991898186681,805.0508652763322,0.8053892215568862,0.4961640605095146,0.08566751926864549,0.15574777589833738,0.0743918586037516,0.05014288874942074,0.006424087546797347,0.0023673313598312354,0.04010965649798152,0.01852880204494006,0.021290160585276913,0.014307728531719625,0.005375210462141742,0.004032568310075806,0.00899864422455375,0.013990774795349428,0.006816120854195766,0.005289978121013906,0.009289717251269428,0.006463317789427389,0.0064984707458182215,0.004727589536899002,0.003853075321311797,0.006653989899734268,0.0037982683587326313,0.0010691074409182003,0.006854423303745458,0.012090053537724275,0.0034426820122914264,0.0031732847705939816,0.007415139492038092,931.0400660883932,182.71268071045023,0,3
14,4,AAV14_1D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,9112,16445,328,603,185,488,252.5407155399473,540.9285557506585,16.01993195438609,13629,0.6440783428467028,107.711460539846,-14,0.5540893888719975,0.06242223767537355,138.91221215776054,149.04026301640775,18.027756377319946,5.048013137631723,4.0,113.6293193133777,106.26222104445674,-79.31908343260228,1354.3849557795997,0.6685743634896177,0.5205678959801082,0.040047715061541,0.15716965713748732,0.04978454945605888,0.007846537775973626,0.02482197762741082,0.017043158188711577,0.025872120540719933,0.016951781521513245,0.006385276786559991,0.02925788068363922,0.00790246477461532,0.0010670790377710993,0.00932172004089021,0.018916122962549135,0.009000846884836546,0.004436241093863038,0.011628949450043748,0.01134752153864572,0.0036847173268159737,0.011730295506730134,0.008734864883674398,0.008313710747804808,0.004831649306929903,0.005924529439104263,0.0006475207216710553,0.0011871148128002845,0.011007834875875063,0.011070692334627175,0.005039102870538716,252.5407155399473,540.9285557506585,0,4
14,5,AAV14_1D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,13680,23976,937,610,775,462,861.3623538011695,536.2093567251462,15.693293881977135,17889,0.53407416161458,131.97695621576148,-26,0.5705705705705706,0.06372148559254623,154.24931845737817,163.08586695357755,22.47220505424423,5.843878912152672,5.0,139.8884651033725,130.40817856103203,71.15089966477377,1642.498700172334,0.7647157471071608,0.6068075974525087,0.030895661865477007,0.1724678137560987,0.03449028322442052,0.02258989983664437,0.02748761845664679,0.03638224415317798,0.016994202589698196,0.010607759256483884,0.005320027183482224,0.01915540466813674,0.0204896570303026,0.010042832455757343,0.009343342894350746,0.006035516272034723,0.005044434162558685,0.0014884250812654094,0.013572916256885188,0.007238120214567784,0.0022448530684145685,0.00730947030431241,0.008557529781036697,0.005540549974667954,0.0035665629929978377,0.00588549686985191,0.0060068453628242665,0.007817237452551131,0.009163076713654872,0.004491694145722592,0.0037010674023185363,861.3623538011695,536.2093567251462,0,5
14,6,AAV14_1D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,12757,25344,499,662,307,530,405.59104805204987,597.1991063729718,12.92098544868013,17512,0.7662109532037048,127.44691786067825,-23,0.503353851010101,0.07739347776311824,168.7905263679623,194.5507645834372,33.24154027718932,7.83225139466142,5.656854249492381,120.48277885241525,108.4629555467961,87.56923515147218,1439.2194795587557,0.7284719049794427,0.4291338671647681,0.021266151340965385,0.1988286503976147,0.04732184049788738,0.012884485697186114,0.008702291721260764,0.03093690113665131,0.03350494838068489,0.012589014334320763,0.004321257196759933,0.006906186381611919,0.005989257183897641,0.01342557187275183,0.0030536795558146796,0.008291669174391732,0.010607960396672196,0.004657309197535618,0.006394892478256684,0.007505081979471442,0.0029041265786875496,0.011658998201825106,0.009993643446365306,0.0017095203856699627,0.010982489099706857,0.00933868732070117,0.0039174036822303224,0.0041375166557904176,0.004412973065306422,0.006406460420769704,0.000845595184545463,405.59104805204987,597.1991063729718,0,6
14,7,AAV14_1D_MCAO_Contra.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,9564,19584,308,949,164,813,233.80112923462985,880.9155165202844,27.575480423204755,14991,0.35222675764233996,110.35063663544084,-23,0.4883578431372549,0.036264100739238636,129.91425624168735,152.31546211727817,17.11724276862369,4.19488853511843,3.1622776601683795,131.05396735910932,121.58866115150246,42.64883248621685,1820.481456229631,0.6379827896738043,0.5122562070466549,0.015061606636822496,0.17023534471847646,0.011053225438828406,0.002825254159135021,0.01425263111560925,0.005367933472481757,0.004806808033748417,0.021596128613946986,0.008781867087148402,0.004703810562190324,0.00494171819678822,0.0007980985742023048,0.0038257441865080584,0.019922861968464288,0.007550324709603798,0.003655680955376592,0.011294588590630105,0.0038264714550860605,0.006962126511944032,0.0008758047706837953,0.007988797300729492,0.008792404045754279,0.014679234669327603,0.006637145132386058,0.0017411863326606567,0.0015572940755332963,0.005136635917530035,0.006146386571237006,0.005190637278133101,233.80112923462985,880.9155165202844,0,7
15,1,AAV14_1D_MCAO_Ctx.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,14454,32340,676,584,511,388,598.904593884046,487.9984779299848,11.331879833645067,19318,0.826777827789059,135.659147791817,-13,0.44693877551020406,0.08824661174317583,193.22043494224548,206.63010429267078,26.627053911388696,8.296186993941225,7.0710678118654755,118.42849189408642,108.69202035730733,34.609375582095886,1434.6631303726517,0.7482141008385961,0.41804134859908887,0.0467723834991738,0.17422020340330996,0.05974861388231269,0.02914458814525487,0.010479325852486104,0.02335049624431388,0.047301219043862336,0.011024766783468722,0.010205263853309034,0.006376633819998067,0.009484378352243047,0.0008657651826349769,0.006557722804239319,0.010966320895583616,0.013080095254246544,0.009935490016186507,0.007101065533067078,0.007895216229290883,0.00570873807976666,0.0008338818356358083,0.0028979489930988853,0.004623922190951498,0.013571665524857513,0.008148992738336292,0.008228123884137193,0.007238669705011648,0.0075893160550327115,0.0042507694336702114,0.0006689325729558048,598.904593884046,487.9984779299848,0,1
15,2,AAV14_1D_MCAO_Ctx.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,12726,28620,361,718,202,538,278.7083922677982,635.7697626905548,7.942455290024773,18255,0.5769989266037286,127.29197322022972,-3,0.4446540880503145,0.12590565051791194,156.48010720855814,179.9388785115657,33.13608305156178,9.189300708933644,7.615773105863909,130.13915629048776,127.80433018672831,17.41840668480298,1127.0113267570428,0.6971240755957272,0.4714820596054028,0.06418305733046313,0.17403327133993846,0.020082128923331416,0.03459432857445768,0.029618654050094638,0.006281267694230377,0.022164782380423697,0.006847472257838371,0.008833225362366377,0.034096058947963026,0.019699096270031805,0.007433291203920158,0.017686116074262327,0.009673939652015904,0.008425169596107356,0.006038398222598613,0.01432278079346103,0.01805254694131157,0.011589129227477617,0.005225554798037229,0.002541587757689458,0.005345217672856128,0.007894940589498665,0.0033294636552897577,0.005682687244976001,0.0037429605061335045,0.0061472577251564485,0.008008931939823586,0.004537706835988909,278.7083922677982,635.7697626905548,0,2
15,3,AAV14_1D_MCAO_Ctx.tif,E:\Research\Stroke_PDGFRb_AAV\Images\Exp1_S100b_CD31\Images_Pdgfrb,15840,35621,748,777,569,578,657.7892676767676,688.2219696969697,22.595071366771034,23067,0.5906728067550348,142.01448654487675,-25,0.44468150809915497,0.04425743932239262,175.45253057610276,203.73512215619573,22.847319317591726,5.637337979734164,4.47213595499958,148.02770011048608,141.57460662762037,19.00610298285725,2120.7495295549165,0.6866952789699571,0.48210321117514937,0.07700702469852727,0.1646915525415128,0.022014731326371117,0.03088194070754722,0.007111671901748506,0.005044324386120693,0.012241300044671477,0.012633812767859324,0.02187823648326184,0.00423681530005892,0.012419807471820634,0.0204276503112733,0.008066302068689005,0.007493570759571623,0.006759152013128529,0.018182095375688347,0.004470903599699776,0.005440117519101736,0.00648857963224847,0.008992319729279271,0.00965471141278853,0.0043546012833488345,0.006550176370054606,0.0075692808823602424,0.005780177879057665,0.0041059277352890056,0.0023391259698829084,0.007983697339673598,0.0032979358455086896,657.7892676767676,688.2219696969697,0,3
